A220106,55,B,25.61,19,127,,,iron fragment,probable,,,,,rectangular,nearly,iron,Gley 2 4-5PB,frag,UD,very crude,,7.85,3.76,1.42,0.82,,,"broken,fragile",1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220107,40,B,24.42,24,153,,,glass bangle,possible,,,,,rectangular,somewhat,glass,"Gley 1 2.5-N, 5Y 7-8. 25.YR 6-8+green",frag,UD,,,2.13,2.92,0.73,0.53,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220108,66,B,25.62,52,261,,,jar stopper,possible,,,,,circular,nearly,ceramic,5YR 6-6 (slip),comp,100%,crude,,7.63,2.77,2.68,0.80,2.77,,whole,1,,,,,,,,,,,,,,,,,,,
A220109,2,B,25.61,19,127,,,jar stopper,possible,,,,,circular,somewhat,ceramic,"10YR 7-4, 10YR 5-1",frag,80%,very crude,,38.30,4.95,4.43,1.66,4.95,,broken,1,,,,,,,10-Jul-22,Roma ,,,,,,,,,,,
A220110,65,B,25.62,36,367,,,UD,,,,,,circular,exactly,ceramic,5YR 5-3,comp,100%,mod,,6.94,2.51,2.33,1.05,2.51,,whole,1,,,,,,,26-Jul-22,Roma ,,,,,,,,,,,
A220111,44,B,25.62,35,253,,,jar stopper,possible,,,,,circular,slightly,ceramic,5YR 7-6,comp,100%,crude,,33.51,4.55,4.11,1.57,4.55,,whole,1,,,,,,,,,,,,,,,,,,,
A220112,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220113,5,B,42.21,33,103,,,jar stopper,uncertain,,,,,hexagonal,slightly,ceramic,5YR 5-3,UD,,very crude,,54.13,6.56,6.07,1.11,,,whole,1,,,,,,,,,,,,,,,,,,,
A220114,31,B,24.42,26,143,,,jar stopper,possible,,,,,circular,nearly,ceramic,7.5YR 7-4,comp,100%,crude,,10.61,3.12,2.74,1.11,3.12,,whole,1,,,,,,,,,,,,,,,,,,,
A220115,70,B,24.42,26,163,,,jar stopper,possible,,,,,circular,somewhat,ceramic,2.5YR 6-6,comp,100%,very crude,,20.20,4.08,4.06,1.14,4.08,,whole,1,,,,,,,,,,,,,,,,,,,
A220116,33,B,69.7,16,21,,,glass fragment UD,,,,,,various,,glass,transparent/Gley 1 8-N,frag,UD,fine,,0.52,2.83,1.49,0.11,,,broken,2,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220117,6,B,70.6,0,,,B22.0427,glass bangle,possible,,,,,lunate,somewhat,glass,"Gley 2 3-5B, 10R 4-6, Gley 1 8-N",frag,UD,,,1.95,3.20,0.61,0.55,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220118,62,B,24.42,26,168,,,hand grinder,probable,,,,,globular,,stone (basalt?),Gley 1 S-N,frag?,mod,,,115.00,5.02,4.02,3.87,,,broken,1,,,,,,,24-Jul-22,Roma,,,,,,,,,,,
A220119,15,B,26.84,,,,B22.0727,glass bangle,possible,,,,,lunate,nearly,glass,"Gley2 2.5-10G, 10R 3-6, more",frag,UD,,,5.43,5.57,0.73,0.75,,,broken,1,,,,,,,11-Jul-22,Sam Fisher,,,,,,,,,,,
A220120,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220121,34,B,69.7,16,22,,,metal,certain,,,,,rectanglar,exactly,metal,,UD,,mod,,3.08,3.31,1.30,0.12,,,UD,,,,,,,,18-Jul-22,Roma,,,,,,,,,,,
A220122,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220123,59,B,25.61,19,130,,,whetstone,certain,,,,,rectangular,nearly,sandstone,5YR/7-3,frag,80%,mod,,225.00,8.50,4.90,3.30,,,broken,1,,,,,,,,,,,,,,,,,,,
A220124,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A220125,30,B,25.61,5,113,,,jar stopper,probable,,,,,circular,nearly,ceramic,7.5YR/8-3,comp,100%,mod,,179.00,9.57,8.30,2.10,,,whole,,,,,,,,,,,,,,,,,,,,
A220126,47,B,24.42,26,150,,,jar stopper,probable,,,,,circular,nearly,ceramic,7.5YR/7-2,comp,100%,crude,,66.20,5.70,5.71,1.79,,,whole,,,,,,,,24-Jul-22,Roma,,,,,,,,,,,
